complexity,accuracy,distortion,mse,gNID,eps,beta,run,point_type,round,universe,prior,num_signals,distance,discriminative_need_gamma,meaning_dist_gamma,dynamics,imprecise_imitation_gamma,population_init_gamma,seed,ib_bound_function
1.5174341,1.5420127,0.37001514,2.2993104,,,,1.0,trajectory,128.0,10,-8,10,squared_dist,1.0,0,replicator_diffusion,0.0,-8.0,42.0,
1.5174074,1.5419831,0.3700447,2.2993872,,,,1.0,trajectory,129.0,10,-8,10,squared_dist,1.0,0,replicator_diffusion,0.0,-8.0,42.0,
1.517376,1.5419526,0.37007523,2.2994666,,,,1.0,trajectory,130.0,10,-8,10,squared_dist,1.0,0,replicator_diffusion,0.0,-8.0,42.0,
1.517345,1.5419188,0.37010908,2.2995505,,,,1.0,trajectory,131.0,10,-8,10,squared_dist,1.0,0,replicator_diffusion,0.0,-8.0,42.0,
1.5173097,1.541884,0.3701439,2.2996366,,,,1.0,trajectory,132.0,10,-8,10,squared_dist,1.0,0,replicator_diffusion,0.0,-8.0,42.0,
1.5172749,1.5418482,0.37017965,2.2997246,,,,1.0,trajectory,133.0,10,-8,10,squared_dist,1.0,0,replicator_diffusion,0.0,-8.0,42.0,
1.5172362,1.541812,0.3702159,2.299815,,,,1.0,trajectory,134.0,10,-8,10,squared_dist,1.0,0,replicator_diffusion,0.0,-8.0,42.0,
1.5171986,1.5417743,0.37025356,2.2999055,,,,1.0,trajectory,135.0,10,-8,10,squared_dist,1.0,0,replicator_diffusion,0.0,-8.0,42.0,
1.5171585,1.5417361,0.3702917,2.2999976,,,,1.0,trajectory,136.0,10,-8,10,squared_dist,1.0,0,replicator_diffusion,0.0,-8.0,42.0,
1.5171185,1.541697,0.3703308,2.3000898,,,,1.0,trajectory,137.0,10,-8,10,squared_dist,1.0,0,replicator_diffusion,0.0,-8.0,42.0,
1.517076,1.5416574,0.3703704,2.300182,,,,1.0,trajectory,138.0,10,-8,10,squared_dist,1.0,0,replicator_diffusion,0.0,-8.0,42.0,
1.5170345,1.5416169,0.37041092,2.300274,,,,1.0,trajectory,139.0,10,-8,10,squared_dist,1.0,0,replicator_diffusion,0.0,-8.0,42.0,
1.5169935,1.5415783,0.37044954,2.300365,,,,1.0,trajectory,140.0,10,-8,10,squared_dist,1.0,0,replicator_diffusion,0.0,-8.0,42.0,
1.5169506,1.5415382,0.3704896,2.300455,,,,1.0,trajectory,141.0,10,-8,10,squared_dist,1.0,0,replicator_diffusion,0.0,-8.0,42.0,
1.5169086,1.5415001,0.37052774,2.3005433,,,,1.0,trajectory,142.0,10,-8,10,squared_dist,1.0,0,replicator_diffusion,0.0,-8.0,42.0,
1.5168676,1.541461,0.37056684,2.3006296,,,,1.0,trajectory,143.0,10,-8,10,squared_dist,1.0,0,replicator_diffusion,0.0,-8.0,42.0,
1.5168252,1.5414224,0.37060547,2.300714,,,,1.0,trajectory,144.0,10,-8,10,squared_dist,1.0,0,replicator_diffusion,0.0,-8.0,42.0,
1.5167856,1.5413861,0.3706417,2.3007956,,,,1.0,trajectory,145.0,10,-8,10,squared_dist,1.0,0,replicator_diffusion,0.0,-8.0,42.0,
1.5167456,1.5413489,0.3706789,2.300874,,,,1.0,trajectory,146.0,10,-8,10,squared_dist,1.0,0,replicator_diffusion,0.0,-8.0,42.0,
1.5167055,1.5413141,0.3707137,2.3009493,,,,1.0,trajectory,147.0,10,-8,10,squared_dist,1.0,0,replicator_diffusion,0.0,-8.0,42.0,
1.5166664,1.5412803,0.37074757,2.3010209,,,,1.0,trajectory,148.0,10,-8,10,squared_dist,1.0,0,replicator_diffusion,0.0,-8.0,42.0,
1.5166311,1.5412469,0.37078094,2.3010883,,,,1.0,trajectory,149.0,10,-8,10,squared_dist,1.0,0,replicator_diffusion,0.0,-8.0,42.0,
1.5165949,1.5412164,0.37081146,2.3011515,,,,1.0,trajectory,150.0,10,-8,10,squared_dist,1.0,0,replicator_diffusion,0.0,-8.0,42.0,
1.5165606,1.5411863,0.3708415,2.3012097,,,,1.0,trajectory,151.0,10,-8,10,squared_dist,1.0,0,replicator_diffusion,0.0,-8.0,42.0,
1.5165286,1.5411582,0.37086964,2.3012629,,,,1.0,trajectory,152.0,10,-8,10,squared_dist,1.0,0,replicator_diffusion,0.0,-8.0,42.0,
1.516499,1.5411334,0.37089443,2.30131,,,,1.0,trajectory,153.0,10,-8,10,squared_dist,1.0,0,replicator_diffusion,0.0,-8.0,42.0,
1.51647,1.5411096,0.37091827,2.3013508,,,,1.0,trajectory,154.0,10,-8,10,squared_dist,1.0,0,replicator_diffusion,0.0,-8.0,42.0,
1.5164447,1.5410895,0.3709383,2.3013854,,,,1.0,trajectory,155.0,10,-8,10,squared_dist,1.0,0,replicator_diffusion,0.0,-8.0,42.0,
1.5164199,1.54107,0.37095785,2.3014126,,,,1.0,trajectory,156.0,10,-8,10,squared_dist,1.0,0,replicator_diffusion,0.0,-8.0,42.0,
1.5164003,1.5410552,0.37097263,2.3014321,,,,1.0,trajectory,157.0,10,-8,10,squared_dist,1.0,0,replicator_diffusion,0.0,-8.0,42.0,
1.5163817,1.5410428,0.37098503,2.3014433,,,,1.0,trajectory,158.0,10,-8,10,squared_dist,1.0,0,replicator_diffusion,0.0,-8.0,42.0,
1.5163674,1.5410333,0.37099457,2.3014457,,,,1.0,trajectory,159.0,10,-8,10,squared_dist,1.0,0,replicator_diffusion,0.0,-8.0,42.0,
1.5163555,1.5410271,0.37100077,2.3014379,,,,1.0,trajectory,160.0,10,-8,10,squared_dist,1.0,0,replicator_diffusion,0.0,-8.0,42.0,
